Gini_Index,Median_Household_Income,Year,State,Region
0.4716,55137,2012,Illinois,Midwest
0.4417,46974,2012,Indiana,Midwest
0.4328,50957,2012,Iowa,Midwest
0.4496,50241,2012,Kansas,Midwest
0.4667,41724,2012,Kentucky,South
0.4859,42944,2012,Louisiana,South
0.445,46709,2012,Maine,Northeast
0.4473,71122,2012,Maryland,South
0.4813,65339,2012,Massachusetts,Northeast
0.4624,46859,2012,Michigan,Midwest
0.4441,58906,2012,Minnesota,Midwest
0.487,37095,2012,Mississippi,South
0.4608,45321,2012,Missouri,Midwest
0.4502,45076,2012,Montana,West
0.4339,50723,2012,Nebraska,Midwest
0.4516,49760,2012,Nevada,West
0.4298,63280,2012,New Hampshire,Northeast
0.4718,69667,2012,New Jersey,Northeast
0.4713,42558,2012,New Mexico,West
0.5009,56448,2012,New York,Northeast
0.4691,45150,2012,North Carolina,South
0.4597,53585,2012,North Dakota,Midwest
0.4615,46829,2012,Ohio,Midwest
0.4643,44312,2012,Oklahoma,South
0.4565,49161,2012,Oregon,West
0.4642,51230,2012,Pennsylvania,Northeast
0.4647,54554,2012,Rhode Island,Northeast
0.4684,43107,2012,South Carolina,South
0.4335,48362,2012,South Dakota,Midwest
0.4732,42764,2012,Tennessee,South
0.4767,50740,2012,Texas,South
0.4392,52977,2012,Vermont,Northeast
0.4244,57049,2012,Utah,West
0.4661,61741,2012,Virginia,South
0.4498,57573,2012,Washington,West
0.4638,40196,2012,West Virginia,South
0.4401,51059,2012,Wisconsin,Midwest
0.4166,54901,2012,Wyoming,West
0.4791,37963,2013,Mississippi,South
0.4605,46931,2013,Missouri,Midwest
0.462,46972,2013,Montana,West
0.4445,51440,2013,Nebraska,Midwest
0.4543,51230,2013,Nevada,West
0.4387,64230,2013,New Hampshire,Northeast
0.48,70165,2013,New Jersey,Northeast
0.4759,43872,2013,New Mexico,West
0.5098,57369,2013,New York,Northeast
0.4765,45906,2013,North Carolina,South
0.455,55759,2013,North Dakota,Midwest
