Gini_Index,Median_Household_Income,Year,State
0.4704,42958,2014,Kentucky
0.4902,44555,2014,Louisiana
0.4593,49462,2014,Maine
0.4491,73971,2014,Maryland
0.4863,69160,2014,Massachusetts
0.4598,49847,2014,Michigan
0.4539,61481,2014,Minnesota
0.476,39680,2014,Mississippi
0.4628,48363,2014,Missouri
0.4544,46328,2014,Montana
0.4352,52686,2014,Nebraska
0.4427,51450,2014,Nevada
0.441,66532,2014,New Hampshire
0.4757,71919,2014,New Jersey
0.477,44803,2014,New Mexico
0.5111,58878,2014,New York
0.4748,46556,2014,North Carolina
0.4664,59029,2014,North Dakota
0.4637,49308,2014,Ohio
0.466,47529,2014,Oklahoma
0.4624,51075,2014,Oregon
0.4686,53234,2014,Pennsylvania
0.4827,54891,2014,Rhode Island
0.4687,45238,2014,South Carolina
0.4468,50979,2014,South Dakota
0.4811,44361,2014,Tennessee
0.4827,53035,2014,Texas
0.4406,54166,2014,Vermont
0.4283,60922,2014,Utah
0.4658,64902,2014,Virginia
0.4542,61366,2014,Washington
0.4546,41059,2014,West Virginia
0.4397,52622,2014,Wisconsin
0.427,57055,2014,Wyoming
0.5472,18928,2014,
0.4759,40593,2015,Mississippi
0.4634,50238,2015,Missouri
0.4623,49509,2015,Montana
0.4473,54996,2015,Nebraska
0.4548,52431,2015,Nevada
0.4347,70303,2015,New Hampshire
0.4832,72222,2015,New Jersey
0.4795,45382,2015,New Mexico
0.5138,60850,2015,New York
0.4776,47830,2015,North Carolina
0.4664,60557,2015,North Dakota
0.4637,51075,2015,Ohio
0.4702,48568,2015,Oklahoma
0.4622,54148,2015,Oregon
0.4685,55702,2015,Pennsylvania
0.4732,58073,2015,Rhode Island
0.4698,47238,2015,South Carolina
0.4436,53017,2015,South Dakota
0.4789,47275,2015,Tennessee
0.4823,55653,2015,Texas
0.4452,56990,2015,Vermont
0.4252,62912,2015,Utah
0.4681,66262,2015,Virginia
0.4561,64129,2015,Washington
0.4581,42019,2015,West Virginia
0.441,55638,2015,Wisconsin
0.4374,60214,2015,Wyoming
0.5589,18626,2015,
0.4811,44765,2015,Alabama
0.4322,73355,2015,Alaska
0.4702,51492,2015,Arizona
0.4773,41995,2015,Arkansas
0.4876,64500,2015,California
0.458,63909,2015,Colorado
0.4523,61255,2015,Delaware
0.5354,75628,2015,District of Columbia
0.4916,71346,2015,Connecticut
0.4872,49426,2015,Florida
0.4801,51244,2015,Georgia
0.4525,48275,2015,Idaho
0.4346,73486,2015,Hawaii
0.4817,59588,2015,Illinois
0.4519,50532,2015,Indiana
0.4393,54736,2015,Iowa
0.4596,53906,2015,Kansas
0.4781,45215,2015,Kentucky
0.4909,45727,2015,Louisiana
0.4523,51494,2015,Maine
0.4524,75847,2015,Maryland
0.4848,70628,2015,Massachusetts
0.4667,51084,2015,Michigan
0.4492,63488,2015,Minnesota
0.4828,41754,2016,Mississippi
0.4646,51746,2016,Missouri
0.4667,50027,2016,Montana
0.4477,56927,2016,Nebraska
0.4577,55180,2016,Nevada
0.4304,70936,2016,New Hampshire
0.4813,76126,2016,New Jersey
0.4769,46748,2016,New Mexico
0.5129,62909,2016,New York
0.478,50584,2016,North Carolina
0.4533,60656,2016,North Dakota
0.468,52334,2016,Ohio
0.4645,49176,2016,Oklahoma
0.4583,57532,2016,Oregon
0.4689,56907,2016,Pennsylvania
0.4781,60596,2016,Rhode Island
0.4735,49501,2016,South Carolina
0.4495,54467,2016,South Dakota
0.479,48547,2016,Tennessee
0.48,56565,2016,Texas
0.4539,57677,2016,Vermont
0.4263,65977,2016,Utah
0.4705,68114,2016,Virginia
0.4591,67106,2016,Washington
0.4711,43385,2016,West Virginia
0.4498,56811,2016,Wisconsin
0.436,59882,2016,Wyoming
0.5419,20078,2016,
0.4847,46257,2016,Alabama
0.4081,76440,2016,Alaska
0.4713,53558,2016,Arizona
0.4719,44334,2016,Arkansas
0.4899,67739,2016,California
0.4586,65685,2016,Colorado
0.4522,61757,2016,Delaware
0.542,75506,2016,District of Columbia
0.4945,73433,2016,Connecticut
0.4852,50860,2016,Florida
0.4813,53559,2016,Georgia
0.4503,51807,2016,Idaho
0.442,74511,2016,Hawaii
0.481,60960,2016,Illinois
0.4527,52314,2016,Indiana
0.4451,56247,2016,Iowa
0.455,54935,2016,Kansas
0.4813,46659,2016,Kentucky
0.499,45146,2016,Louisiana
0.4519,53079,2016,Maine
0.4499,78945,2016,Maryland
0.4786,75297,2016,Massachusetts
0.4695,52492,2016,Michigan
0.4496,65599,2016,Minnesota
0.479,43529,2017,Mississippi
0.4618,53578,2017,Missouri
0.4539,53386,2017,Montana
0.4391,59970,2017,Nebraska
0.4606,58003,2017,Nevada
0.4386,73381,2017,New Hampshire
0.4794,80088,2017,New Jersey
0.4776,46744,2017,New Mexico
0.5157,64894,2017,New York
0.4763,52752,2017,North Carolina
0.4546,61843,2017,North Dakota
0.4642,54021,2017,Ohio
0.4658,50051,2017,Oklahoma
0.4593,60212,2017,Oregon
0.4777,59195,2017,Pennsylvania
0.4722,63870,2017,Rhode Island
0.4795,50570,2017,South Carolina
0.4488,56521,2017,South Dakota
0.4822,51340,2017,Tennessee
0.4781,59206,2017,Texas
0.4525,57513,2017,Vermont
0.4225,68358,2017,Utah
0.4674,71535,2017,Virginia
0.4561,70979,2017,Washington
0.4686,43469,2017,West Virginia
0.4467,59305,2017,Wisconsin
0.4326,60434,2017,Wyoming
0.5512,19343,2017,
0.4768,48123,2017,Alabama
0.4241,73181,2017,Alaska
0.4668,56581,2017,Arizona
0.4725,45869,2017,Arkansas
0.4866,71805,2017,California
0.4553,69117,2017,Colorado
0.4811,62852,2017,Delaware
0.5281,82372,2017,District of Columbia
0.4943,74168,2017,Connecticut
0.4859,52594,2017,Florida
0.483,56183,2017,Georgia
0.4478,52225,2017,Idaho
0.4455,77765,2017,Hawaii
0.4818,62992,2017,Illinois
0.4497,54181,2017,Indiana
0.4381,58570,2017,Iowa
0.4539,56422,2017,Kansas
0.4784,48375,2017,Kentucky
0.4935,46145,2017,Louisiana
0.4526,56277,2017,Maine
0.453,80776,2017,Maryland
0.4851,77385,2017,Massachusetts
0.4671,54909,2017,Michigan
0.4516,68388,2017,Minnesota
0.4483,60773,2018,Wisconsin
0.4555,61584,2018,Wyoming
0.5424,20296,2018,
0.4828,44717,2018,Mississippi
0.4657,54478,2018,Missouri
0.4535,55328,2018,Montana
0.4488,59566,2018,Nebraska
0.469,58646,2018,Nevada
0.453,74991,2018,New Hampshire
0.4836,81740,2018,New Jersey
0.4891,47169,2018,New Mexico
0.513,67844,2018,New York
0.4782,53855,2018,North Carolina
0.4427,63837,2018,North Dakota
0.4667,56111,2018,Ohio
